1,1,399,182,121,229,-1
1,2,282,201,92,184,-1
1,3,63,153,82,288,-1
1,4,192,206,62,137,-1
1,5,125,209,74,157,-1
1,6,162,208,55,145,-1
2,1,399,181,139,235,-1
2,2,269,202,87,182,-1
2,3,71,151,100,284,-1
2,4,200,206,55,137,-1
2,5,127,210,77,157,-1
2,6,157,206,71,143,-1
3,1,419,182,106,227,-1
3,2,271,196,76,190,-1
3,3,70,155,111,286,-1
3,4,209,204,47,139,-1
3,5,136,206,64,160,-1
3,6,162,204,71,142,-1
4,1,428,181,111,237,-1
4,2,262,196,76,185,-1
4,3,80,160,106,280,-1
4,4,218,206,41,138,-1
4,5,131,208,75,154,-1
4,6,164,212,73,131,-1
5,1,439,179,95,238,-1
5,2,264,197,66,187,-1
5,3,84,165,104,267,-1
5,4,227,208,39,139,-1
5,5,136,208.27,74.364,153.95,-1
5,6,180,211,53,139,-1
6,1,454,179,87,238,-1
6,2,251,194,68,187,-1
6,3,89,164,115,270,-1
6,4,228,208,47,136,-1
6,5,141,208.55,73.727,153.91,-1
6,6,183,214,53,136,-1
7,1,453,177,81,239,-1
7,2,245,190,69,196,-1
7,3,103,165,110,272,-1
7,4,233.67,208.17,48,135.5,-1
7,5,146,208.82,73.091,153.86,-1
7,6,184,211,56,145,-1
8,1,471,178,76,241,-1
8,2,236,188,70,197,-1
8,3,117,165,101,276,-1
8,4,239.33,208.33,49,135,-1
8,5,151,209.09,72.454,153.82,-1
8,6,190,211,55,144,-1
9,1,464,173,101,244,-1
9,2,232,190,74,195,-1
9,3,125,158,113,283,-1
9,4,245,208.5,50,134.5,-1
9,5,156,209.36,71.818,153.77,-1
9,6,193,214,56,138,-1
10,1,479,168,81,251,-1
10,2,224,190,78,194,-1
10,3,134,159,97,283,-1
10,4,250.67,208.67,51,134,-1
10,5,161,209.64,71.182,153.73,-1
11,1,483,169,88,250,-1
11,2,220,194,77,191,-1
11,3,139,154,92,286,-1
11,4,256.33,208.83,52,133.5,-1
11,5,166,209.91,70.546,153.68,-1
12,1,497,167,99,249,-1
12,2,210,195,70,185,-1
12,3,139,155,100,285,-1
12,4,262,209,53,133,-1
12,5,171,210.18,69.909,153.64,-1
13,1,502,172,100,246,-1
13,2,210,195,73,185,-1
13,3,160,151,90,289,-1
13,4,264,209,55,129,-1
13,5,176,210.45,69.273,153.59,-1
14,1,499,172,108,241,-1
14,2,203.2,194.4,72.2,187.8,-1
